Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-1027.2461,1160.8843,946.58704,-193.2308,187.9694,-139.6599,-163.0572,214.6695,-139.6599,-178.9535,231.9745,-178.1334
-47.178123,39.479843,295.25406,-36.51439,26.17819,-3.072789,-32.2049,31.328,-3.072789,-72.34879,51.86887,-12.23393
-93.47754,78.224724,585.00977,-72.34879,51.86887,-12.23393,-32.2049,31.328,-3.072789,-63.81004,62.07257,-12.23393
-153.86049,128.75493,563.0135,-72.34879,51.86887,-12.23393,-63.81004,62.07257,-12.23393,-106.8358,76.5936,-27.31282
-227.20241,190.12883,831.3889,-106.8358,76.5936,-27.31282,-63.81004,62.07257,-12.23393,-94.22686,91.66118,-27.31282
-312.1373,261.20453,783.4259,-106.8358,76.5936,-27.31282,-94.22686,91.66118,-27.31282,-139.3333,99.89192,-48.02864
-407.08408,340.65918,1021.7308,-139.3333,99.89192,-48.02864,-94.22686,91.66118,-27.31282,-122.8889,119.5428,-48.02864
-510.27383,427.0112,940.1487,-139.3333,99.89192,-48.02864,-122.8889,119.5428,-48.02864,-169.2359,121.33,-73.99561
-619.78235,518.6512,1141.9116,-169.2359,121.33,-73.99561,-122.8889,119.5428,-48.02864,-149.2624,145.1981,-73.99561
-733.574,613.8752,1021.557,-169.2359,121.33,-73.99561,-149.2624,145.1981,-73.99561,-195.9869,140.5085,-104.7301
-849.5322,710.91327,1183.0375,-195.9869,140.5085,-104.7301,-149.2624,145.1981,-73.99561,-172.8561,168.1495,-104.7301
-965.4947,807.95404,1021.62537,-195.9869,140.5085,-104.7301,-172.8561,168.1495,-104.7301,-219.088,157.0703,-139.6599
-1079.2996,903.18646,1142.0474,-219.088,157.0703,-139.6599,-172.8561,168.1495,-104.7301,-193.2308,187.9694,-139.6599
-1188.7972,994.817,952.1991,-219.088,157.0703,-139.6599,-193.2308,187.9694,-139.6599,-213.0391,201.124,-178.1334
-52.5353,32.00748,295.2541,-40.00822,20.44361,-3.072789,-36.51439,26.17819,-3.072789,-79.27137,40.5065,-12.23393
-104.09226,63.418697,585.00946,-79.27137,40.5065,-12.23393,-36.51439,26.17819,-3.072789,-72.34879,51.86887,-12.23393
-171.33192,104.38478,563.01276,-79.27137,40.5065,-12.23393,-72.34879,51.86887,-12.23393,-117.0582,59.81504,-27.31282
-253.00203,154.14241,831.3882,-117.0582,59.81504,-27.31282,-72.34879,51.86887,-12.23393,-106.8358,76.5936,-27.31282
-347.58157,211.76534,783.4267,-117.0582,59.81504,-27.31282,-106.8358,76.5936,-27.31282,-152.6652,78.00964,-48.02864
-453.30936,276.18143,1021.73047,-152.6652,78.00964,-48.02864,-106.8358,76.5936,-27.31282,-139.3333,99.89192,-48.02864
-568.2165,346.18933,940.1471,-152.6652,78.00964,-48.02864,-139.3333,99.89192,-48.02864,-185.429,94.75148,-73.99561
